review_id,product_id,reviewer_name,rating,review_title,review_text,verified_purchase,helpful_votes,review_date
1,SC001,Rahul,5,Perfect office wear,Absolutely love this shirt! The fabric is crisp and comfortable. Fits perfectly for office meetings. Great stitching quality. Will buy in more colours.,True,12,2024-11-15
2,SC001,Meena,4,"Good quality, slightly stiff initially",Nice shirt overall. The material is a bit stiff initially but softens after 2 washes. The white colour is bright and clean. Good value for money.,True,5,2024-10-22
3,SC001,Vikram,4,Great fit for slim builds,Bought the M size and it fits well. The buttons are sturdy. Would appreciate more size options. Overall a solid purchase.,False,3,2025-01-08
4,SC002,Ananya,2,Colour faded after washing,Disappointed with the quality. The stripes started fading after just two washes. The fabric is thin and see-through. Not worth the price.,True,18,2024-09-14
5,SC002,Priya,3,Okay for the price,Decent crop top. The fit runs small so size up. Colour is vibrant initially. Machine wash separately or it will bleed. Average quality.,True,7,2024-12-03
6,SC004,Kavya,2,Print not matching website images,The actual print colours are very different from the product photos. Much darker and the pattern looks off. Returned immediately.,True,14,2025-01-20
7,SC004,Deepika,3,Fabric okay but sizing off,The kurti is comfortable but the sizing is not consistent with standard measurements. Had to exchange twice.,True,6,2024-11-30
8,SC007,Sneha,4,Beautiful dress for summer events,Wore this to a garden party and got so many compliments! The floral pattern is gorgeous. Flows beautifully. Slightly pricey but worth it.,True,22,2025-02-14
9,SC007,Tanya,5,My favourite summer buy,"Perfect fit, beautiful fabric. This dress is exactly what I was looking for. Comfortable for all-day wear.",True,15,2025-01-05
10,SC007,Aisha,3,Nice but needs ironing constantly,Lovely dress but the material wrinkles very easily. You need to iron it before every wear which is inconvenient. Good print though.,True,4,2024-10-18
11,SC010,Ravi,2,"Delivery damaged, poor packaging",Received the dress with a small tear near the pocket. Packaging was careless. Refund was processed but the experience was bad.,True,11,2024-12-28
12,SC010,Sonal,2,Material cheaper than expected,The product looks much better in photos. In person the fabric feels flimsy and the buttons look cheap. Returning this.,True,8,2025-02-01
13,SC011,Ritika,5,"Stunning dress, absolute showstopper",Wore this to a wedding reception and turned heads! The velvet is rich and luxurious. The fit is flattering. Worth every rupee.,True,31,2025-03-01
14,SC011,Pooja,5,"Exactly as pictured, premium quality","High quality velvet, beautiful colour, excellent stitching. Fits true to size. This is a statement piece.",True,19,2025-02-10
15,SC011,Manish,4,Great but dry clean only,Gorgeous dress. One downside is that it can only be dry cleaned which adds to the cost of ownership. Otherwise perfect.,False,7,2024-12-15
16,SC012,Harsh,4,"Good fit, durable denim",These jeans are great for everyday wear. The denim is thick and doesn't stretch out. True to size. Good colour options.,True,13,2025-01-25
17,SC012,Sameer,3,Button fly is inconvenient,Jeans are good quality but the button fly takes getting used to. The rise is indeed high which is good. Fabric is solid.,True,5,2024-11-08
18,SC013,Kavya,4,Comfortable and stylish,Love these palazzos! Very comfortable for long days. The print is vibrant. Gets a bit wrinkled but irons out easily.,True,9,2025-02-20
19,SC017,Ananya,5,Best leggings I have bought,"These leggings are amazing for yoga and workouts. Great compression, no see-through issues. Stays in place during any movement. Highly recommend.",True,35,2025-03-05
20,SC017,Deepika,5,Perfect fit and very comfortable,Bought three pairs. The fabric is soft yet sturdy. Doesn't fade or lose shape after multiple washes. Great value.,True,27,2025-02-28
21,SC017,Priya,2,Waistband rolls down during exercise,Good fabric but the waistband keeps rolling down during intense workouts. This is a design flaw that needs fixing.,True,19,2025-01-10
22,SC018,Rahul,5,Classic and timeless,"This trench coat is investment dressing. Beautiful quality, perfect length, and genuinely keeps you warm. Worth every rupee.",True,16,2024-12-20
23,SC018,Meena,4,Good quality but runs large,Beautifully made coat. However the sizing runs about one size large. Recommend sizing down. Quality of fabric is excellent.,True,8,2025-01-15
24,SC020,Vikram,4,Great distressed look,"Love the aesthetic of this jacket. The distressing looks natural, not fake. Fits well. Good quality denim.",True,12,2025-02-18
